id,name,size,methods,classes,fields,instructions,tests
01,initial,2864520,6785,1191,3064,152645,197
01,initial+jinline,1500491,4428,764,2016,106093,197
01,initial+jinline+jshrink,1367069,4003,760,1826,142070,197
01,initial+jinline+jshrink+jreduce,1367069,4003,760,1826,142070,179
2,initial,7482783,20475,2551,5431,293260,164
2,initial+jinline,5572881,19988,2504,5275,290512,164
2,initial+jinline+jshrink,5564048,19988,2504,5275,295950,164
2,initial+jinline+jshrink+jreduce,5564048,19988,2504,5275,295950,152
3,initial,10223818,29777,3657,10195,456792,903
3,initial+jinline,10223818,29777,3657,10195,456792,903
3,initial+jinline+jshrink,9908552,29777,3657,10195,494185,903
3,initial+jinline+jshrink+jreduce,3425937,11441,1429,3747,185944,903
4,initial,14984424,38081,5087,12390,679289,6
4,initial+jinline,14857421,37854,5030,12277,674561,6
4,initial+jinline+jshrink,14815586,37798,5030,12248,678064,6
4,initial+jinline+jshrink+jreduce,1964,5,1,1,153,6
5,initial,467347,1036,180,422,20807,1050
5,initial+jinline,379193,1036,180,422,22766,1050
5,initial+jinline+jshrink,327180,890,180,362,31855,1050
5,initial+jinline+jshrink+jreduce,326922,890,178,362,31855,1050
6,initial,39107,98,10,55,2312,61
6,initial+jinline,34596,98,10,55,2514,61
6,initial+jinline+jshrink,31207,92,10,42,3626,61
6,initial+jinline+jshrink+jreduce,31207,92,10,42,3626,61
7,initial,1393364,3586,516,1599,78102,9
7,initial+jinline,1146272,3586,516,1599,80696,9
7,initial+jinline+jshrink,1145401,3582,516,1599,80818,9
7,initial+jinline+jshrink+jreduce,1077092,3381,481,1495,76885,9
9,initial,6511567,13549,2066,5502,233589,21
9,initial+jinline,5030896,13520,2060,5490,231083,21
9,initial+jinline+jshrink,5031886,13518,2060,5490,231339,21
9,initial+jinline+jshrink+jreduce,3405418,8653,1505,4668,134704,21
10,initial,11978654,26291,3346,58794,799243,3291
10,initial+jinline,11134359,24036,2992,56603,763082,3291
10,initial+jinline+jshrink,11134359,24036,2992,56603,763082,3291
10,initial+jinline+jshrink+jreduce,1114217,3178,412,2218,69795,3291
11,initial,796625,2139,391,494,24405,1065
11,initial+jinline,639674,2139,391,494,26734,1065
11,initial+jinline+jshrink,639674,2139,391,494,26734,1065
11,initial+jinline+jshrink+jreduce,635,654,2,123,386,489,26605,1065
12,initial,69400,235,21,81,3683,163
12,initial+jinline,63872,235,21,81,5463,163
12,initial+jinline+jshrink,55661,235,21,81,7349,163
12,initial+jinline+jshrink+jreduce,55661,235,21,81,7349,163
13,initial,1111508,2977,368,976,56129,34
13,initial+jinline,910851,2977,368,976,57867,34
13,initial+jinline+jshrink,833729,2844,366,861,82211,34
13,initial+jinline+jshrink+jreduce,833729,2844,366,861,82211,33
15,initial,9435019,24730,2958,6881,422843,105
15,initial+jinline,9435019,24730,2958,6881,422843,105
15,initial+jinline+jshrink,9383136,24701,2958,6869,425906,105
15,initial+jinline+jshrink+jreduce,6580470,17336,2002,4953,327330,105
16,initial,129241,355,89,31,7453,493
16,initial+jinline,99255,355,89,31,7862,493
16,initial+jinline+jshrink,82243,299,89,25,10235,493
16,initial+jinline+jshrink+jreduce,81752,297,88,25,10216,493
17,initial,29296204,79033,8677,29024,1450278,11
17,initial+jinline,29296204,79033,8677,29024,1450278,11
17,initial+jinline+jshrink,29224310,78988,8677,29002,1455681,11
17,initial+jinline+jshrink+jreduce,8490060,20533,1999,6776,494949,11
19,initial,234685,524,42,187,11156,337
19,initial+jinline,206953,560,54,194,13183,337
19,initial+jinline+jshrink,186540,513,54,193,18845,337
19,initial+jinline+jshrink+jreduce,186540,513,54,193,18845,337
20,initial,96856753,175545,22324,49346,3073757,847
20,initial+jinline,96563918,174961,22232,49097,3058805,847
20,initial+jinline+jshrink,96563918,174961,22232,49097,3058805,847
20,initial+jinline+jshrink+jreduce,423538,1111,121,322,27832,847
21,initial,91499,206,35,68,3257,19
21,initial+jinline,74941,206,35,68,3245,19
21,initial+jinline+jshrink,69469,206,35,68,4545,19
21,initial+jinline+jshrink+jreduce,23382,64,11,32,1820,19
22,initial,198454,603,62,517,22571,3
22,initial+jinline,206071,603,62,517,22895,3
22,initial+jinline+jshrink,198463,556,62,506,25268,3
22,initial+jinline+jshrink+jreduce,5661,40,3,2,458,3
23,initial,3560835,7362,1116,4710,282669,1
23,initial+jinline,2852858,7362,1116,4710,282519,1
23,initial+jinline+jshrink,2844547,7337,1116,4701,286188,1
23,initial+jinline+jshrink+jreduce,0,0,0,0,0,1
24,initial,46622724,110989,14181,42087,2392907,0
24,initial+jinline,46513135,110683,14148,41976,2388215,0
24,initial+jinline+jshrink,46513135,110683,14148,41976,2388215,0
24,initial+jinline+jshrink+jreduce,9283967,22220,2695,7213,399170,0
25,initial,5101266,9793,1658,5332,154397,55
25,initial+jinline,3833473,9793,1658,5332,155053,55
25,initial+jinline+jshrink,3827098,9781,1658,5325,155602,55
25,initial+jinline+jshrink+jreduce,3682869,9337,1601,5118,146939,55
27,initial,4898836,23061,2591,11732,172773,13
27,initial+jinline,3742750,23043,2584,11728,173761,13
27,initial+jinline+jshrink,3736482,23043,2584,11728,176325,13
27,initial+jinline+jshrink+jreduce,3736482,23043,2584,11728,176325,13
28,initial,7954540,17803,2589,6328,283206,0
28,initial+jinline,5652922,17764,2574,6320,286508,0
28,initial+jinline+jshrink,5637042,17686,2574,6274,291114,0
28,initial+jinline+jshrink+jreduce,5637042,17686,2574,6274,291114,0
29,initial,254173,787,109,285,12482,28
29,initial+jinline,201719,787,109,285,12874,28
29,initial+jinline+jshrink,186548,787,109,285,17072,28
29,initial+jinline+jshrink+jreduce,186548,787,109,285,17072,28
