id,name,size,methods,classes,fields,instructions,tests
05,initial,467347,1036,180,422,20807,1050
05,initial+jreduce,466332,1034,178,413,20801,1050
05,initial+inliner,370050,1036,180,422,21620,1050
05,initial+jshrink,321741,880,180,362,30536,1050
05,initial+jreduce+inliner,370210,1034,178,413,21810,1050
05,initial+jreduce+jshrink,321486,880,178,362,30536,1050
05,initial+jreduce+inliner+jshrink,322442,880,178,362,30846,1050
05,initial+jreduce+jshrink+inliner,342920,880,178,362,21270,206
06,initial,39107,98,10,55,2312,61
06,initial+jreduce,39107,98,10,55,2312,61
06,initial+inliner,33275,98,10,55,2337,61
06,initial+jshrink,29982,90,10,42,3446,61
06,initial+jreduce+inliner,33670,98,10,55,2416,61
06,initial+jreduce+jshrink,29982,90,10,42,3446,61
06,initial+jreduce+inliner+jshrink,30330,90,10,42,3527,61
06,initial+jreduce+jshrink+inliner,31595,90,10,42,2322,61
07,initial,1393364,3586,516,1599,78102,9
07,initial+jreduce,1308766,3385,481,1495,74306,9
07,initial+inliner,1138315,3586,516,1599,79756,9
07,initial+jshrink,1391077,3582,516,1599,78240,9
07,initial+jreduce+inliner,1070194,3385,481,1495,75842,9
07,initial+jreduce+jshrink,1306479,3381,481,1495,74444,9
07,initial+jreduce+inliner+jshrink,1069525,3381,481,1495,75974,9
07,initial+jreduce+jshrink+inliner,1069911,3381,481,1495,75872,9
11,initial,796625,2139,391,494,24405,1065
11,initial+jreduce,791601,2123,386,489,24282,1065
11,initial+inliner,621480,2139,391,494,24727,1065
11,initial+jshrink,796625,2139,391,494,24405,1065
11,initial+jreduce+inliner,614733,2123,386,489,24234,1065
11,initial+jreduce+jshrink,791601,2123,386,489,24282,1065
11,initial+jreduce+inliner+jshrink,614733,2123,386,489,24234,1065
11,initial+jreduce+jshrink+inliner,617460,2123,386,489,24598,1065
12,initial,69400,235,21,81,3683,163
12,initial+jreduce,69400,235,21,81,3683,163
12,initial+inliner,55645,235,21,81,3760,163
12,initial+jshrink,47842,209,21,45,5157,163
12,initial+jreduce+inliner,55645,235,21,81,3760,163
12,initial+jreduce+jshrink,47842,209,21,45,5157,163
12,initial+jreduce+inliner+jshrink,47817,209,21,45,5117,163
12,initial+jreduce+jshrink+inliner,52045,209,21,45,4007,162
16,initial,129241,355,89,31,7453,493
16,initial+jreduce,128423,352,88,31,7438,493
16,initial+inliner,95470,355,89,31,7421,493
16,initial+jshrink,81276,297,89,25,10073,493
16,initial+jreduce+inliner,94903,352,88,31,7408,493
16,initial+jreduce+jshrink,80783,295,88,25,10052,493
16,initial+jreduce+inliner+jshrink,80582,295,88,25,9904,493
16,initial+jreduce+jshrink+inliner,89510,295,88,25,7244,493
21,initial,91499,206,35,68,3257,19
21,initial+jreduce,30586,64,11,32,1326,19
21,initial+inliner,75337,206,35,68,3297,19
21,initial+jshrink,65039,168,33,53,4628,19
21,initial+jreduce+inliner,25094,64,11,32,1384,19
21,initial+jreduce+jshrink,22113,55,11,20,1854,19
21,initial+jreduce+inliner+jshrink,22331,55,11,20,1902,19
21,initial+jreduce+jshrink+inliner,23793,55,11,20,1378,19
